process,payer,file_code,file_description,number_of_reporting_plans,plan_market_types,example_plan_names,size_bytes,last_modified,reason,location_url
N,Harvard Pilgrim Health Care,A078-FS,in-network file,1,group,Beth Israel Lahey Health (BILH) - BILH HMO Plus,109650348.0,"Sun, 06 Sep 2026 05:01:36 GMT",BILH employer-specific custom network,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A078-FS_in-network-rates.zip
N,Harvard Pilgrim Health Care,A079-FS,in-network file,1,group,Beth Israel Lahey Health (BILH) - BILH Tiered POS,109606717.0,"Sun, 06 Sep 2026 05:01:36 GMT",BILH employer-specific custom network,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A079-FS_in-network-rates.zip
N,Harvard Pilgrim Health Care,A081-FS,in-network file,1,group,Husson University - Maines Choice Plus HMO,108960621.0,"Sun, 06 Sep 2026 05:01:35 GMT",Maine product (Maine's Choice Plus),https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A081-FS_in-network-rates.zip
N,Harvard Pilgrim Health Care,A089-FS,in-network file,1,group,GROUP INSURANCE COMMISSION - Harvard Pilgrim Quality HMO,109009565.0,"Sun, 06 Sep 2026 05:01:35 GMT",GIC-only custom product (Quality HMO / Explorer POS),https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A089-FS_in-network-rates.zip
N,Harvard Pilgrim Health Care,A090-FS,in-network file,1,group,GROUP INSURANCE COMMISSION - Harvard Pilgrim Explorer POS,108272233.0,"Sun, 06 Sep 2026 05:01:35 GMT",GIC-only custom product (Quality HMO / Explorer POS),https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A090-FS_in-network-rates.zip
N,Harvard Pilgrim Health Care,A091-FS,in-network file,1,group,SALVE REGINA UNIVERSITY - Ocean State Access America,108638020.0,"Sun, 06 Sep 2026 05:01:34 GMT",Rhode Island product (Ocean State Access America),https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A091-FS_in-network-rates.zip
N,Harvard Pilgrim Health Care,A091-P1,in-network file,1,group; individual,Ocean State Access America,108582991.0,"Sun, 06 Sep 2026 05:01:33 GMT",Rhode Island product (Ocean State Access America),https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A091-P1_in-network-rates.zip
N,Harvard Pilgrim Health Care,A092-FS,in-network file,1,group,"CAPE COD HEALTHCARE, INC. - CCHC DPO-GEO Plan (POS)",108962958.0,"Sun, 06 Sep 2026 05:01:35 GMT","Single-employer custom network (Cape Cod Healthcare, Clergy, UNITE HERE, HMFP)",https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A092-FS_in-network-rates.zip
N,Harvard Pilgrim Health Care,A093-FS,in-network file,1,group,"CAPE COD HEALTHCARE, INC. - CCHC Out-of-Area Plan (PPO)",108556685.0,"Sun, 06 Sep 2026 05:01:34 GMT","Single-employer custom network (Cape Cod Healthcare, Clergy, UNITE HERE, HMFP)",https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A093-FS_in-network-rates.zip
N,Harvard Pilgrim Health Care,A096-P1,in-network file,1,group; individual,PPO Access - LP,108602254.0,"Sun, 06 Sep 2026 05:01:34 GMT",Flex/PPO Access variants; secondary product networks,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A096-P1_in-network-rates.zip
N,Harvard Pilgrim Health Care,A097-FS,in-network file,1,group,CLERGY MEDICAL HOSPITALIZATION PLAN - Clergy POS,108981403.0,"Sun, 06 Sep 2026 05:01:36 GMT","Single-employer custom network (Cape Cod Healthcare, Clergy, UNITE HERE, HMFP)",https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A097-FS_in-network-rates.zip
N,Harvard Pilgrim Health Care,A098-FS,in-network file,1,group,"CAPE COD HEALTHCARE, INC. - CCHC DPO Plan (POS)",108978884.0,"Sun, 06 Sep 2026 05:01:36 GMT","Single-employer custom network (Cape Cod Healthcare, Clergy, UNITE HERE, HMFP)",https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A098-FS_in-network-rates.zip
N,Harvard Pilgrim Health Care,A101-FS,in-network file,1,group,UNITE HERE HEALTHLOCAL 26 - UHH Local 26 Select,108808945.0,"Sun, 06 Sep 2026 05:01:36 GMT","Single-employer custom network (Cape Cod Healthcare, Clergy, UNITE HERE, HMFP)",https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A101-FS_in-network-rates.zip
Y,Tufts Health Plan,TuftsHealthPublicPlans_DirectNonSubsidizedGroup,Direct NonSubsidized Group in-network-rates,27680,group,"B210 Direct Gold B210 Non Subsidized SG Darleen Pratt | DNU Direct Silver B370 HSA Non Subsidized SG Home Energy Efficiency Team, Inc. 001 | DO NOT USE | DO NOT USE Direct Bronze B400 Non Subsidized SG Christian Dumont Real Estate | DO NOT USE Direct Gold B200 Non Subsidized SG OZ WINE COMPANY",11654491.0,"Tue, 01 Sep 2026 13:30:23 GMT","Tufts Health Direct small-group network - only Tufts commercial network published (27,680 plans)",https://eusprdtransparencymrfp32.blob.core.windows.net/thp/2026-09-01_TuftsHealthPublicPlans_DirectNonSubsidizedGroup_in-network-rates.zip
Y,Tufts Health Plan,TuftsHealthPublicPlans_DirectSubsidizedIndividual,Direct Subsidized Individual in-network-rates,39,individual,Direct Bronze Q401 AI/AN Zero | Direct Bronze Q402 AI/AN Reduced Cost Share | Direct Bronze Q403 Subsidized | Direct Bronze Q411 AI/AN Zero | Direct Bronze Q412 AI/AN Reduced Cost Share,11418100.0,"Tue, 01 Sep 2026 13:30:23 GMT",Tufts Health Direct individual (ConnectorCare subsidized); may carry different rates,https://eusprdtransparencymrfp32.blob.core.windows.net/thp/2026-09-01_TuftsHealthPublicPlans_DirectSubsidizedIndividual_in-network-rates.zip
Y,Tufts Health Plan,TuftsHealthPublicPlans_DirectNonSubsidizedIndividual,Direct NonSubsidized Individual in-network-rates,32,individual,Direct Bronze Q400 Non Subsidized | Direct Bronze Q400 Off Exchange | Direct Bronze Q400 SBSB Off-Exchange | Direct Bronze Q410 Non Subsidized | Direct Catastrophic Q500,11650090.0,"Tue, 01 Sep 2026 13:30:23 GMT","Tufts Health Direct individual (Health Connector, unsubsidized)",https://eusprdtransparencymrfp32.blob.core.windows.net/thp/2026-09-01_TuftsHealthPublicPlans_DirectNonSubsidizedIndividual_in-network-rates.zip
